,subject,description
90,Preloader `make` failed while including include/autoconf.mk.dep,"After following the fix to rectify issues with extracting the tar file containing u-boot; the `make` command to build the pre-loader fails.  In particular: Investigating the file showed that the generated file autoconf.mk.dep (attached as autoconf.mk.txt) contained trailing slashes. If the intention is to continue the line then I believe this should be a slash. If these trailing slashes are changed to backward slashes, then the compilation continues until the next file which appear to have the same issue and make error.  Attached is also the output from `make`.  System information: "
91,Continuos Data transfer from HPS to QuartusDCFIFO,Hello I have  a system where a custom IP in FPGA is connected to HPS SYSTEM . The IP uses Quartus FIFO to continuosly get the DATA. The write side is connected to HPS and read side is connected to custom ip. The data is continuosly read at custom IP side.  When the transfer happens(using software) I see that the FIFO is getting empty for certain period before the next transfer happens. I need a continuose transfer whenever its not empty(Unless its full and Data is over) . How can I acheive this ?? I am using the h2f_lw bridge for data transfer . Could this be the problem ? 
92,SDRAM Window Boundary in MPU Address space,"The SDRAM starting and ending address in the MPU Address space is modifiable. The window can be enlarged or shrinked at the cost of BOOT ROM region and FPGA slaves region. It is written in TR-Manual that the total amount of SDRAM addressable from the other address spaces can be configured at run time.  It could be done by writing into the address filtering start and end registers in the L2 cache controller ? right? When we are writing the Scatter file for placing our code in the SDRAM, how can we beforehand know what's the SDRAM base address in MPU Address space? Can we change the SDRAM boundary window in the preloader, if yes how? "
93,Declarations for UART_MAX_LEN and log_buf (Cyclone V) missing while compiling,"Hello Folks, I am stuck in a problem since last week Does anybody have a hint where can I find the header file that contains these declarations: UART_MAX_LEN, log_buf    Compiler is giving error about about UART_MAX_LEN undeclared, similarly log_buf, they both happen to appear in a function int_write in src/utils/alt_retarget_gnu.c.  I have used the linker script :""host_tools\mentor\gnu\arm\baremetal\arm-altera-eabi\lib\cycloneV-dk-ram-hosted.ld"" to access some of the host's functionality to print.  My compiler output: ../src/utils/alt_retarget_gnu.c:88:20: error: 'UART_MAX_LEN' undeclared (first use in this function) ../src/utils/alt_retarget_gnu.c:88:20: note: each undeclared identifier is reported only once for each function it appears in ../src/utils/alt_retarget_gnu.c:93:14: error: 'log_buf' undeclared (first use in this function)  P.S. Project is attached with preloader for reproduction of error. "
94,Bug in hwlibs alt_qspi.c driver ?,"I've run into a problem trying to use the hwlibs alt_qspi.c flash driver on the Arria 10 SoC DevKit.  This is the version that came with the SoCFPGA-GettingStarted-A10-GCC example: * $Id: //acds/rel/16.1/embedded/ip/hps/altera_hps/hwlib/src/hwmgr/alt_qspi.c#2 $ It works OK for me until I enable the ARM caches. My code is running from DDR and I've enabled caching to the DDR. I've reduced the problem to the following environment: When I check the data in the three sectors I see that sector C seems to have been erased, yet sector A & B have not ! This test works OK with the caches disabled. There appears to be some race condition in the alt_qspi_erase_helper routine.  If I add some delay between the call to alt_qspi_stig_addr_cmd and the call to the wait func, then the test works OK. I cannot find a reason why such a delay would be needed. I've attached a DS-5 project that shows this fault.  The simple test code for this is in FlashTest.c.  The alt_qspi.c code contains some #if0 code that allows the test to work when included. Has anyone else seen problems like this ? Can someone from Intel investigate please ? Thanks !  "
95,DOES 10AS048 FPGA SUPPORT x72 DDR4 ?,
96,DS5 Linux Debugging not working,"I have a licensed version of DS5. I am currently working on debugging a linux application on the De1-SoC board (Cortex A9). Although I am following the tutorial video ( ) but still when I press the debug button in the debug configuration window after filling all the required information: It says, "" Unable to connect to Linux. Reason: Falied target configuration: gdbserver excited unexpectedly, see the App Console for further information""  In the app console window; following appears; Preparing the debug session # cd ""/home/root"" # export LD_LIBRARY_PATH="".:$LD_LIBRARY_PATH"" # gdbserver :5001 ""./Linux_test_program"" gdbserver: command not found #  It should be mentioned that I have an active remote connection via ssh to the board. The board has a running linux image with gdb server installed. Does anybody know where is the problem?  "
97,Intel HLS Examples not compiling for x86-64,I have successfully installed the Intel HLS compiler with Quartus Prime 18.1 Standard Edition.  However when i run the following command... ...I get the following output The compilation works for test-gcc option. Please tell me how to resolve the issue. I am using Ubuntu 18.04.1 LTS. 
98,Arria-10 PCIe Drivers and API for LINUX OS,"Hello everyone,  Is there any API and Linux drivers for PCIe under LINUX that we may use for designing an application on CentOS, which will transfer bulk data from and to Arria-10 PCIe Card ?  Thanks for help!!  "
99,Why SGDMA cannot not complete ?,"Hello,  We are using interniche, and on trying to send an ethernet packet (udp), it fails in with status 0xC. I don't understand why SGDMA should fail. The code of the above function is a low level code which does a simple SGDMA transfer through registers. I see that return status is 0xC , which means - according to table 336 -   What does it mean ? Why SGDMA transfer fails ?  We are using FPGA with a network switch (mac-to-mac), that's why phy detection fails, but still it does not explain why SGDMA transfer fails.  The fpga fw+sw can be found here:  See log of the baremetal (ucos) application here:  Thank you for any feedback, ran "
100,Unable to Compile FPGA-to-HPS Bridge Design Example for CV SoC DevKit Rev E baremetal project in Eclipse on Windows 10 Machine.,"Hi,  I downloaded the following project for Cyclone V SOC Development Kit:-  FPGA-to-HPS Bridge Design Example for CV SoC DevKit Rev E and programmed the FPGA using .sof file on my kit which is done successfully.  However, when I try to compile the software project in eclipse on my Windows 10 machine, it gives the following error attached in the image file.  Why is such error here? How do I remove this error?       "
101,C code example for Programming Stratix using Avalon-ST,"Hi, Our system we use Cyclone HPS to program Startix FPGA using Avalon-ST 16. The idea is to use C code on Cyclone HPS with GPIOs that connecting to Startix programming lines in Avalon-ST 16 mode.  Is there any C code example to use for programming Stratix over Avalon-ST?  Thanks,Shaul. "
102,"Hello.
Can you help me where to find CoC ROHS 10 (2015) or which contact? i searched in the link https://qdms.intel.com/MDDS/MDDSView.aspx but does not have ROHS 10 (2015) CoC.

Thank you
Regards",for next PN CD8067303562200S R3GP CD8067303406100S R3B5 WGI210IS / MM#925143 FTXL710-BM1/MM#947351 LBG-1G_00S1 
103,is it possible to measure the processor time in nanoseconds? by using eclipse software.,"Hallo everyone,  i have a cyclone V Altera, i did a division operation of two integer numbers by using eclipse software (in c code). I need to measure the processor time, i means how much time will be taken for this function to be done. Of course it is happening in nanosecond. Is there any function, or method using timer or something else to measure the processor time in nanosecond. the code is like that;  #include <stdio.h>     /* printf */ #include <time.h>      /* clock_t, clock, CLOCKS_PER_SEC */ int a; int main (void) { clock_t t; t = clock(); a= 1/2;   -- division t = clock() - t; return 0; }  Thanks in advance. "
104,Running bare-metal from SDRAM memory. Error,"I am using De1-SoC board. Cyclone V (Cortex-A9). As far as I understand the base address of the SDRAM memory in the MPU address space is 0x00100000 and the ending address is 0xC0000000 by default. Its written in the TR-manual in the system interconnect chapter. My question is why am I getting an error when I try to load a simple program to the SDRAM memory with following scatter file configuration? SDRAM 0x00100000 0x02000000 ; { APP_CODE + 0 { * (+ RO , + RW , + ZI ) } ARM_LIB_STACKHEAP 0x000800000 EMPTY 0x000100000 ; Application heap and stack { } }  ERROR: ERROR(CMD16-TAD11-NAL22): ! Failed to load ""HelloWorldARM.axf"" ! Failed to write 3,132 bytes to address S:0x00100000 ! General error on memory or register access.  One reason could be that the SDRAM is not configured but I am already running a preloader before loading my bare-metal program. Any hints?? "
105,Arria-10 PCIe Drivers and API for Windows OS,"Hello,  Is there any API and drivers for PCIe under Windows that we might use for designing an application on Windows 10, which will transfer data from and to Arria-10 PCIe card? "
106,Failed to open '/cygdrive/c/altera/14.1/embedded/host_tools/altera/preloader/uboot-socfpga.tar.gz',How can i solve this Problem? i lost too much time on this issue. Thanks in Advance.   tar zxf /cygdrive/c/altera/14.1/embedded/host_tools/altera/preloader/uboot-socfpga.tar.gz tar: Error opening archive: Failed to open '/cygdrive/c/altera/14.1/embedded/host_tools/altera/preloader/uboot-socfpga.tar.gz' make: *** [uboot-socfpga/.untar] Error 1 
107,"re: Cyclone V 5CSXFC4C6U23C7N  LPDDR2 
Why an unexpected SDRAM refresh behavior?","Using 5CSXFC4C6U23C7N CycloneV with 2x MT42L128M32D1LF-25 WT:A LPDDR2 Micron SDRAM: 4Gb (2Mx32b x 8bank) Quartus Prime 18.1 Lite Edition We have noticed a curious feature of the fpga SDRAM: each 117.4ms the fpga bus towards the SDRAM MPFE is blocked by waitreq for about 8us. Usage We have setup SDRAM with Alteras default timing parameters, e.g. (RFCab) = 75 to 130ns (Altera default=75, Micron 130ns) t(REFIab) = 15.6us (I increased it to 21us for testing) We can write/fill the SDRAM in about 1 sec. (two people have written different fill programs) Comments We see that our bus is halted with waitreq each 15.6us for max 770ns as expected. It varies if we change t(RFCab) or t(REFIab) as expected. The wierd thing is the 8us waitreq: it starts on the same 15.6us t(REFIab) interval as a normal, short refresh. For example, if I change t(REFIab) to 21.0us, the normal and wierd refresh each start on 21.0us or multiples. t(RFCab) changes the short refresh length but has no effect on the wierd refresh length Both ""refresh"" waitreq sequences start a random time after the fill begins, as expected since it is autonomous from when we start the fill program. 117.4ms is outside Microns spec: Micron requires refresh cycles to complete within each 32ms window. Since it is affected by changing t(REFIab) I presume it is caused by the Altera hard PHY SDRAM controller machine. My questions: What is this 117.4ms waitreq/refresh? How can we make it stop?  "
108,Cyclone V pin assignment from bootloader - how,"I look for a way to set the weak pull-up resistor on a HPS pin (UART0_RX) to 'on' from the bootloader, before Linux boot and before an FPGA configuration is loaded to the device.  The general question would be, if it is even possible. The more detailed question of course would be: how?  I something like this which talkes about exactly what I'm trying to do, but when I try to perform the described steps. nothing happens. I don't even get a file called iocsr_config_cyclone5.c from which I suppose is the file that could contain some pin assignments...  Any help much appreciated.  Maik "
109,Problem with Ref.Software: altera_pcie_gui.exe launch,I'm having problem with launching the AVMM DMA altera pcie GUI on Windows 10. I have followed the following steps:-  Please help me solve the problem with the launching of the software. Thank you in advance 
110,How to remove make error during uboot build in altera arria 10?,"I am building Linux OS for our custom board which uses Altera Arria 10 SoC. My Linux Version is 14.04 and by taking reference from below link, I am building Uboot  I am using Quartus Prime Pro Edition(17.1) and SOC EDS 17.1 tool for generating uboot_w_dtb-mkpimage.bin image for sd card boot on custom board. In the last step of make : No rule to make target /host_tools/altera/bootloaders/u-boot/uboot-socfpga.tar.gz', needed by uboot-socfpga/.untar'. Stop. Error is encountered. How to remove this error and generate uboot image. Thanks and Regards, Priya. "
111,"Hello,  I am working with the My_First_HPS tutorial for the DE10-nano but am unable to open the Embedded_Command_Shell batch file.","I have administrative privileges on my machine but when i run the batch file, the cmd window comes up and then closes immediately... Does anyone have any insight on what could be causing this issue? Thank you. "
112,Nios ii and Drivers,"When making software for the Intel Stratix 10, such as drivers and applications, can you use the HAL drivers for the DMA on the HPS or does the Nios ii have to in the system design? "
113,"Hello,
I have Cyclone 5 development board and want to load Micrium OS on the HPS.
Where to start?","What tools need to be install for that (ds5, quartus version...)?Do you have user guide? The board should wakeup from the SD Card so I need to program the SD with the relevant files. Please advice. "
114,"Greetings, 
After compiling the top level module , The compilation report shows no hardware percentage consumption.","a BDF ( schematic is provided ) with some editing due to the sensitivity of the design, in addition to the report also after compilation the report is not showing the registers used in this hierarchical design. this is the second time am facing this problem.  Thanks in advance "
115,how to Access to Register of a new component in Qsys?,"Hello,  i added a new component in Qsys Project, it is an adder-block with 2 Inputs and one Output.  Through the ds-5 Debugger, i want to Access to the These two Inputs and one Output using their own Register. The Problem is : how can i find their Registers and how to give some Input values?  Thanks in Advance.  Billel "
116,Timer watchdog is not reset the nios.,"Hi, I want to add a watchdog with timer to my project. I added to platform design the timer and the configuration i set is in pic1. After I generated the HDL file, i added InitTimer_1(); function in C platform in pic 2. In addition, every 10ms i am writing to period registers (pic3) as said in the user guide(pic4). I did a while (1) loop in order to stuck the program. But there is no reset. I know this because in the while loop i blink a LED on my board so the program still running and didnt restart? Please advise. thanks.  pic1: pic 2:  pic3:  pic4:    "
117,"a new component in Qsys desire to make addition of two inputs, with one output (results). I connected these two slaves (inputs) to h2f_lw_master_hps to be able to access to their IP address and give some inputs, the problem is:  (please see the details)","i added a new component in Qsys project, this new component is to calculate the sum of two inputs (two slaves) and result (one output - master). I connected these two slaves to the ''h2f_lw_master_hps'' to be able to access to their ''IP addresses'' (give some inputs). The problem is: how can i find the corresponding ''IP addresses'' of these two slaves and one master (output)? i am using cyclone V hardware processor system. Thanks in advance. "
118,alt_qspi_read()  QSPI addressing problem," alt_qspi_read() is returning data from the QSPI address -1.  I've written data to the QSPI by two different methods.  quartus_hps.exe and also using alt_qspi_write function it in both cases the data from QSPI is returned out by 1byte address.  I am using the Altera Cyclone V dev kit.  QSPI is setup in PlatformDesigner as per the GSRD examples.  I have debugged through the alt_qspi_read() code and I cannot see any obvious ""out by one"" issues.  The hardware must be OK I assume since the preloader runs correctly from QSPI and loads my bare metal application and runs it.  The problem is quite easy for me to work around BUT I'm worried that it is the sign of something bad elsewhere!! Has anyone seen similar?  Intel?  Can you comment please?       "
119,How to modify kernel dts of a10_soc_devkit ?,"Hi,  We are using altera arria 10 soc(10AS066KF40) and building the OS image by taking reference of this link some of our hps signals are mapped similar to this schematic  we are thinking to use the image as per above link but some hps signals are different so is it possible to modify dts/kernel/hps signal according to our custom hardware?  Thanks. "
120,Quartus II 4.2sp1 Web Edition Full  licence,"I use Quartus II 4.2sp1 Web Edition Full for Altera CPLD-chip EPM3064A TC44-10 and need a new licence. The Legacy License Generator generates following error message: ""There is an issue in generating the license for this provided NIC/Host ID: 000FFE1DB0B2"" What can i do, to get a new licence, i urgently need to compile a changing. many thanks for help. "
121,Timing requirement about Avalon-ST in triple speed ethernt IP core,"in TSE datasheet,the timing requirement about the data using by Avalon-ST interface.but the figure 51 and 55(shown below) confuse Avalon-ST transmit interface as shown in figure 55,when should I change the data,in rising edge or falling edge of ff_tx_clk,or both?like figure 55,and in receive operation in figure 51,when should I read the data,as shown in figure,using falling edge of ff_rx_clk,but figure 51 and 55 using the different timing diagram. "
122,Inconsistent Data of Transceiver,"​Hi all, I am printing my data from trasnceiver at UART output terminal (putty). My setup consists of a counter running at 100 Mhz. this counter is connected  to transciever. The transceiver pll clock is also 100 MHz. Now when I try to print my coutner data which i received back in serial loopback of the transciever onto the ARM UART terminal. I am running Linux on arm. I have cyclone V Arrow Sockit board. Now my data is inconsistant like I am receiving 1,4,4,12,12,4,3,6,7,12,14,.... but I wana see consistent counter sequence like 1,2,3,4,5,6,7,...,15.  Any help please? "
123,Programmer error in auto-detecting the FPGA,"Hi, In Cyclone 10 GX board, when I try autodetecting the devices in programmer, in recent times, Quartus 18.1 pro programmer is not detecting the 10CX220Y. I tried renaming the unknown device ID and changing the instruction register length to 10. After that I was able to program the device, but still couldn’t run the nios application code. For some reasons, the Eclipse is not detecting the target connection path.  I tried uninstalling all the pro version, and when I reinstall, the autodetect feature works for a couple a times, and then It keeps repeating the same error. The blaster driver seems to be good too.I would really appreciate any suggestions on this. "
124,Having problem in writing to the EPCQ-L512 sectors follow by sectors erase,I am having problem in writing to the EPCQ-L512 sectors follow by sectors erase.  I was able to write follow by bulk erase but not sectors erase.  Writing to sectors follow by sectors erase worked in EPCQ-512 but not in EPCQ-L512. 
125,How to reach and configure EMMC part of Arria 10,"I am using SD/MMC card for booting Arria 10 to debug some stuff but now I want to change booting from SD/MMC to EMMC . Altough I have searcht many sites and read every documents, I can not reach EMMC .What is the way to use EMMC ?  Thanks "
126,Why do I see the mem pins in Quartus for the HPS?,"HI,  Why do I see the mem pins in Quartus for the HPS?  I'm coming from a Nios background, in Nios with Qsys I understand that it's all soft and the mapping to pins is defined as part of the Quartus IP..... but with the HPS is the SDRAM interface not defined ""hard"" with fixed pins..... and why does it show up in an export from Qsys module?  thanks, confused.   "
127,Error:  The target hardware identity could not be verified. Please check that the target being connected to is of type Cyclone V SoC (Dual Core),"HI all,  Noob here...  I'm just getting started with Cyclone 5 SoC based dev.  I have a De10-Nano board.   I can program the FPGA section from Quartus without problem. I can run HelloWorld from DS5 ..... however on occasion I see the following error after debug starts.. it also seems that the FPGA part will reset.   Can someone point me in a direction to find out whats up please?  If I set the scatter file to load to OCRAM I don't seem to see this problem.... only on SDRAM....  Thanks, Mike  "
128,pthread with NiosII Software Build Tools for Eclipse,Is there any way to build based programs using ? If anyone have idea please help me. Thanks 
129,Using Intel Arria10 PAC card in 10G mode,"Hi, The Intel Arria10 PAC card has a QSFP+ port.  Is it possible to use it in 10G mode, i.e. can i just use one channel of the QSFP+ port to get 10G connection? I assume that i will need to use a QSFP to SFP cable for this application. If you are familiar with this, please give me as much detail as you can. Thanks "
130,Accessing the Global Timer from the FPGA (Cyclone V SoC)?,Is it possible for the FPGA logic side to access the Global Timer? Does it involve a memory-access via the FPGA–to–HPS bridge perhaps? I am interested in capturing the value to resolve event timing across the FPGA and HPS boundaries? Thanks! 
131,Enabling FPGA2HPS Bridge in Uboot Hangs the Kernel,"I am using Cyclone V SOC on De10 Nano kit. I have added Frame Reader IP in QSYS to HPS which uses FPGA2HPS bridge. I am programming FPGA via Uboot. When Uboot loads the RBF file and run ""bridge_enable_handoff"" command and boots the kernel, the kernel hangs at ""Starting Kernel"". I have removed FPGA2HPS bridge and the Kernel is loading properly. So the issue is in enabling FPGA2HPS bridge. I need this bridge for Linux frame buffer to show GUI desktop environment.  "
132,Multi-threaded applications on Nios-II multiprocessor system,"Hi I want to run multi-threaded (using pthread) applications on Nios-II multiprocessor system.  I found that we can do multitasking with MicroC/O-II. But it doesn't have POSIX API. So rather than re-writing my applications, is there any other ways (like installing any OS which support pthread and Nios-II)? Thanks  "
133,Accessing the Global Timer from the FPGA (Cyclone V SoC)?,Is it possible for the FPGA logic side to access the Global Timer? Does it involve a memory-access via the FPGA–to–HPS bridge perhaps? I am interested in capturing the value to resolve event timing across the FPGA and HPS boundaries? Thanks! 
134,QSPI NOR flash boot programming,"I'm transferring 64MB of qspiimage.img image to QSPI NOR S25FL512 flash on our custom board (uses A10SoC same as GHRD design).  It takes a long time to finish the image transfer (>2hr). I’m following steps from  May I know how can I speed up the qspiimage.img transfer (64MB).   Thanks, Allen Rubis  "
135,EPCQL512 Status Register Bits 7 is on.  What is bit 7 and how to turn it off ?,"Can't make change to the protect bits 2-6 (BP0, BP1, BP2, BP3 and TB) anymore.   There is no information on the Status Register Bits 7 in ""EPCQ-L Serial Configuration Devices Datasheet"" "
136,"DS-5 correct paths, compiler settings to develop C app running under Linux","Hi to everyone! I'm develop (I wish..) a C app for HPS running under Linux (Cyclone5 SoC self-developed card) Compiler question: depending of compiler , GCC complier  fails with ordinary C code, selecting ARM-5 compiler, I have a bunch of error due to wrong references in my libraries: option 0_RDWR, O_SYNC are not resolved and so on. My question: there is a clear tutorial to learn how DS-5 environment  DS-5 must be set and which are the correct paths to include al needed libs to run in reliable mode?  Code examples for Leds and so on are quit clear: I must create an access to virtual memory and open a file with appropriate base, span addresses to R/W my peripherals. But applyng these examples in DS-5 ,  it is very hard to understand which are correct libraries !!!  Any suggestion is appreciated!  "
137,"how to resolve ERROR :--> "" DEVICE 10M08SAU169 IS NOT SUPPORTED"".","I HAVE CONNECTED USB BLASTER to MYPC AND OPEN QUARTUS 10.1 PROGRAMMER. I WANT TO ADD .pof FILE For PROGRAMMING BUT I FACEd THIS ERROR --> DEVICE 10M08SAU169 IS NOT SUPPORTED. SHARE ME HOW TO SOLVE SUCH error..  Thanks, Minesh "
138,Problem in Linux booting on Custom Board of Cyclone V SX,"We have designed a custom board using Cyclone V SX SOC whose image we have attached with this request.  We have tested all the interfaces of our board and the board is working perfectly fine. We have been able to UBOOT using uSD Card even but we are unable to boot the Linux completely. It gets stuck at some point and we really need help as we have to dispatch the board to US in the coming month.  We have tried quite a bit but we are unable to boot complete Linux here. I have also attached the message we get during Linux boot with this email. We suspect that the device tree blob for the custom board is not correct but we are not completely sure.  Another issue that we are facing again is a software issue in case of RGMII as we have changed our RGMII chip from KSZ9021 to KSZ9031 and hence we are unable to PING using UBOOT. So what changes we can do in uBOOT to initiate PING? However, in case Linux gets booted, this problem can be solved from there.  Hence, I request forum to kindly help us in this so that our issue gets sorted out and we are able to proceed for production here. This once successful has considerable business opportunity for us as we have been working on this design for more than a year now. This has a potential of upto 500 boards finally for one application.  Will appreciate your reply in this regard.   "
139,"Can anyone verify for me the following code for 32-bit calculator in verilog using FSM?
4 operation- +,-,*,/
Works on DVS protocol","module calc ( input [7:0] inpA , input [7:0] inpB , input [01:0] inpOpType , output[15:0] outC ,  input    iValid , output    iStall ,  input    oStall , output    oValid ,  input    clk , input    rstn ) ; //----------------------------------------------------------------------  parameter  ST_IDL  = 1'b0 ; parameter  ST_STALL = 1'b1 ;  reg     inp_dstall_r, oup_dval_r, lat_inp_r ; reg     inp_dstall_s, oup_dval_s, lat_inp_s ;  reg     st_cur, st_nxt ;   reg [31:0] store_a, store_b, oup_s ; reg [01:0] store_ctrl ;   //---------------------------------------------------------------------- //  FSM //---------------------------------------------------------------------- parameter s0 = 2'b00, s1 = 2'b01, s2 = 2'b10, s3 = 2'b11; reg [1:0] cs, ns; always @ (posedge clk) begin if(rstn) cs <= s0; else cs <= ns; end //---------------------------------------------------------------------- always @(posedge clk or negedge rstn) begin if(!rstn) begin lat_inp_r  <= 1'b0 ; inp_dstall_r <= 1'b0 ; st_cur    <= ST_IDL ; oup_dval_r  <= 1'b0 ; end else begin inp_dstall_r <= inp_dstall_s ; lat_inp_r  <= lat_inp_s ; st_cur    <= st_nxt ; oup_dval_r  <= oup_dval_s ; end end //---------------------------------------------------------------------- always @(posedge clk or negedge rstn) begin ns = s0; case (cs) s0 : if (!store_ctrl) ns = s1; s1 : if (store_ctrl) ns = s2; else ns = s1; s2 : if (store_ctrl) ns = s3; else ns = s1; s3 : if (!store_ctrl) ns = s1; endcase end always @(posedge clk) begin if(lat_inp_s) begin store_a  <= inpA ; store_b  <= inpB ; store_ctrl <= inpOpType ; end end //---------------------------------------------------------------------- always @* begin if(store_ctrl == 2'b00) oup_s = store_a + store_b ; else if(store_ctrl == 2'b01) oup_s = store_a - store_b ; else if(store_ctrl == 2'b10) oup_s = store_a * store_b ; else if(store_b == 0) oup_s = 0 ; else oup_s = store_a / store_b ; end //---------------------------------------------------------------------- assign iStall  = inp_dstall_r ; assign oValid  = oup_dval_r ; assign outC   = oup_s ; //----------------------------------------------------------------------  endmodule "
140,I try to connect HPS with FPGA part in SOC_DE1 but I get this error I wonder if you could please help with that?,
141,Where can I find the latest version of hwlibs for the Arria 10 SoC ?,Is there a location where I can find the latest version of the hwlibs code for the Arria 10 SoC ? I have been using the version that came with the SoCFPGA-GettingStarted-A10-GCC from the fpgawiki Intel page. I have run into a problem with the QSPI driver and want to check that I am using the latest... 
142,"Hi, I want to  write/read to the FPGA DDRs from FPGA of Arria 10 soc fpga.","Hi, I want to write/read to the FPGA DDRs from FPGA of Arria 10 soc fpga. I know that this has to be done through a verilog file. Do I have to use DMA . Can somebody help me how to get around this problem or any link to reference material. Many thanks.. "
143,video processing,
144,MAX 10 RGMII interface - PLL input from non-dedicated clock pin,"Hello, I'm trying to create my own RGMII interface for the MAX 10 Development Kit.  Until now I was working with the Cyclone 10 LP Evaluation Kit, I sucesfully created an RGMII following this intel manual:   Now I wanted to adapt my project to this new MAX 10 board, but it is not working. So I guess that the RGMII PHY of this new board doesn't have the same skew configurations. I'm not able to find any information about that, in the Cyclone LP board I was able to find that for RX the delay is already implemented inside the physical chip, for Tx it's not so I used a PLL to displace the clock phase 90º.  As I don't really know where is the problem, my plan was to just try to center-align the Rx clock, and see if I start receiving something. But I can't connect a non-dedicated clock pin to the PLL, so I can't repeat the previously done for Tx.  Any ideas on how to do that? And also any idea about the skew configuration of that specific board? (It uses the Marvel 88E1111 chip).  Also the manual says that ""You can achieve this with a DLL and by assigning RX_CLK to a DQS pin or promoting RX_CLK to a global or regional net if you need a small clock latency."" But I don't understand what it means and I can't find almost any information about it. "
145,I have the same problem  and i am using hwlib version 18.1,
146,More up-to-date GCC for the Cyclone V SoC ARM available?,"I'm building an application for a Cyclone V SoC, using OpenCL to program the FPGA and running the CL host application on the ARM under Linux. To compile my host application I use the GCC toolchain shipped with the EDS.  However, the GCC coming with the EDS in 2019 is version 4.8.3 from 2014 missing a lot of recent C++ features - I just got sucked by a missing C++11 (!!) feature. Its absolutely needed to support C++11 for my project, its highly desirable to be able to use some third party libs that depend on C++14 and it would be nice if I could use code from my own codebase using some bits of C++17.  Is it possible to get a more up-to-date GCC for the ARM (clang would be fine too)? Do I have to expect any compatibility issues when using a newer GCC version for the Cyclone V SoC's ARM?  Any hints would be greatly appreciated "
147,"Hi, I'm SawChien from Jabil. Our engineer found few pieces of Intel part failed, need to do FA, please provide some information so that I can proceed the shipment.",P/N# DD226-1086 MFG: INTEL MPN: 5CGXFC7C6F23I7N Media: Tray Qty affected: 10 
148,How to make Intel FPGA starter edition 10.5b to display systemverilog unpacked array?,"I am in the middle of trying out Intel FPGA starter edition 10.5b, however I can not get modelsim to display my unpacked array signal in the systemverilog. The simulation works fine but vsim does not even list the signal in the Objects window. Below is an example of unpacked array: logic [7:0]    my_unpacked_array[8]; "
149,"Hi, I am new to Qsys.  I am able to read  the data from memory mapped component from HPS but not able to write to the mapped component.",
150,Unhandled prefetch abort: external abort on non-linefetch,"Hi All,  We are using arria10 SOC in our custom design and the linux kenel that is used is 4.1.22. We are accessing the FPGA PIO's and other interfaces(SPI, lwbridge,h2fpga bridges) through application using mmap for /dev/mem device node.  On running the application randomly we are facing the following crashes  [ 260.978011] Unhandled prefetch abort: external abort on non-linefetch (0x1008) at 0xc0612440 [ 260.997282] Internal error: : 1008 [#1] SMP ARM [ 261.001791] Modules linked in: [ 261.004844] CPU: 0 PID: 0 Comm: swapper/0 Not tainted 4.9.78-ltsi-altera #1 [ 261.011770] Hardware name: Generic DT based system [ 261.016536] task: c0b06ac0 task.stack: c0b00000 [ 261.021048] PC is at __netif_receive_skb+0x0/0x94 [ 261.025729] LR is at netif_receive_skb_internal+0x58/0xc4 [ 261.031102] pc : [<c0612440>]  lr : [<c061265c>]  psr: 60030113 [ 261.031102] sp : c0b01d38 ip : 00000000 fp : c0b01d64 [ 261.042522] r10: f0ab9ba0 r9 : 0000005d r8 : 0000003c [ 261.047719] r7 : 00000000 r6 : 00000100 r5 : ee5179c0 r4 : c0b04478 [ 261.054213] r3 : 00000000 r2 : 00000000 r1 : 00000000 r0 : ee5179c0 [ 261.060709] Flags: nZCv IRQs on FIQs on Mode SVC_32 ISA ARM Segment none [ 261.067808] Control: 10c5387d Table: 2eb8404a DAC: 00000051 [ 261.073524] Process swapper/0 (pid: 0, stack limit = 0xc0b00218) [ 261.079500] Stack: (0xc0b01d38 to 0xc0b02000)  Could anyone please help me in solving this issue.  Regards, Shwetha  "
151,"MicroSemi already provides RISC-V with software IP,
Are there plans to adopt RISC-V for SOC's lineup in the future?",
152,DPDK l2fwd use,"Hi, I succeeded in compiling DPDK and the l2fwd example. But I can't get l2fwd sample application to be started. In fact, I don't know how to specify the interfaces. I tried with the example in the official website. Here is what I'm having: In fact, I don't how to specify the interfaces. Anyone can give me a simple command on how to launch it with 2 interfaces? Thanks. "
153,On-chip RAM unavailable over JTAG," There is a VERY SIMPLE example how to create and start a HPS based ""Hello World"" app on Cyclone V SOC :  Debugging is connected over USB-Blaster.  Unfortenutely the debug step fails for both GCC abd DS-5 based apps. The app cannot be loaded into OCRAM (on LARK board and custom HW): Debugger can access only in the range 0xFFFF0000-0xFFFF1FFF beginning with 0xFFFF2000 the OCRAM becomes unaccessible.  Just a simple test:  Memory view:     The problem seems to be not new, but the solution ...   "
154,"Hi, where can I find the tutorials on Functional Verification (simulation) of the Qsys system generated. Information related BFMs((Bus Functional Models) . Please provide the link.",
155,Example code for Quartus Lite with Cyclone 4 EP4CE6. Found the pdf for the older Quartus walk through - but doesn't map well to new lite version. Any info/examples would be gratefully received. Thanks.,
